Epoch,train_total,train_coarse,train_refine,train_edge,train_corner,train_boundary,val_psnr_mask,val_ssim_mask,val_psnr_boundary
0,0.033349,0.007513,0.006833,0.009423,0.023282,0.002536,18.000619,1.565387,24.325532
1,0.026457,0.006322,0.005767,0.008584,0.021255,0.002029,18.205078,1.619811,24.699089
2,0.025477,0.006119,0.005518,0.008380,0.020835,0.001929,18.643577,1.697372,25.117780
3,0.024613,0.005947,0.005306,0.008168,0.020251,0.001857,18.962583,1.687125,25.322075
4,0.024565,0.005994,0.005312,0.008184,0.020166,0.001828,19.063875,1.702784,25.456869
5,0.023699,0.005744,0.005021,0.007831,0.019232,0.001752,19.350546,1.734172,25.818453
6,0.023599,0.005720,0.004984,0.007781,0.019098,0.001734,19.270754,1.735571,25.725041
7,0.023282,0.005650,0.004911,0.007705,0.018955,0.001689,19.430434,1.738953,26.062048
8,0.023329,0.005645,0.004886,0.007676,0.018865,0.001682,19.359465,1.748476,25.740288
9,0.022749,0.005544,0.004811,0.007571,0.018632,0.001643,19.698212,1.764919,26.229337
10,0.022500,0.005516,0.004750,0.007488,0.018383,0.001627,19.353460,1.756345,26.089328
11,0.022403,0.005551,0.004760,0.007546,0.018544,0.001607,19.666430,1.784616,26.303251
12,0.022221,0.005468,0.004673,0.007438,0.018280,0.001577,19.822877,1.806829,26.485855
13,0.021691,0.005329,0.004528,0.007306,0.017967,0.001537,19.772051,1.773712,26.393227
14,0.021683,0.005302,0.004499,0.007239,0.017779,0.001505,19.841816,1.777677,26.478328
15,0.021773,0.005312,0.004499,0.007258,0.017822,0.001514,19.764657,1.770901,26.401894
16,0.021725,0.005293,0.004465,0.007242,0.017811,0.001507,20.023183,1.817325,26.606128
17,0.021275,0.005124,0.004327,0.007036,0.017306,0.001470,20.101639,1.791202,26.633136
18,0.021503,0.005210,0.004365,0.007136,0.017519,0.001457,19.873069,1.798355,26.504648
19,0.021468,0.005158,0.004330,0.007040,0.017280,0.001434,20.031791,1.809467,26.931727
20,0.021499,0.005127,0.004309,0.007031,0.017282,0.001438,19.915243,1.808234,26.780779
21,0.021375,0.005108,0.004262,0.006993,0.017173,0.001428,19.914703,1.833336,26.803441
22,0.021495,0.005145,0.004291,0.007018,0.017231,0.001413,20.426105,1.867740,27.203195
23,0.021622,0.005145,0.004302,0.007009,0.017207,0.001423,20.388799,1.861123,27.060882
24,0.021358,0.005083,0.004235,0.006947,0.017045,0.001397,20.385041,1.856211,27.134562
25,0.021595,0.005117,0.004259,0.006966,0.017085,0.001400,20.819781,1.883508,27.283898
26,0.021529,0.005059,0.004229,0.006933,0.017054,0.001386,20.324402,1.898626,27.201237
27,0.021470,0.005022,0.004182,0.006825,0.016731,0.001383,20.184447,1.859926,27.198943
28,0.021338,0.004954,0.004115,0.006806,0.016704,0.001366,20.675867,1.879969,27.250140
29,0.021489,0.004945,0.004138,0.006830,0.016763,0.001358,20.478880,1.872830,27.158651
30,0.021328,0.004907,0.004078,0.006752,0.016564,0.001354,20.233740,1.847075,27.229421
31,0.021589,0.004945,0.004144,0.006823,0.016734,0.001341,20.711192,1.890375,27.325969
32,0.021506,0.004868,0.004074,0.006745,0.016545,0.001343,20.600611,1.856252,27.320204
33,0.021484,0.004858,0.004067,0.006739,0.016548,0.001332,20.425186,1.868973,27.280830
34,0.021342,0.004784,0.004006,0.006675,0.016385,0.001325,20.610448,1.892312,27.251866
35,0.021413,0.004787,0.004022,0.006670,0.016368,0.001310,20.701048,1.899804,27.410660
36,0.021483,0.004798,0.004034,0.006682,0.016377,0.001309,20.548372,1.910340,27.481048
37,0.021424,0.004722,0.003971,0.006598,0.016178,0.001303,20.723380,1.885650,27.487413
38,0.021501,0.004692,0.003970,0.006633,0.016262,0.001297,20.465870,1.871634,27.395129
39,0.021457,0.004666,0.003958,0.006593,0.016186,0.001289,20.731306,1.890673,27.517654
40,0.021450,0.004641,0.003944,0.006590,0.016159,0.001289,20.429908,1.885987,27.216590
41,0.021508,0.004619,0.003928,0.006571,0.016125,0.001295,20.680852,1.892141,27.545807
42,0.021716,0.004674,0.003977,0.006653,0.016325,0.001289,20.831126,1.910474,27.483459
43,0.021578,0.004585,0.003910,0.006528,0.016008,0.001276,20.900138,1.925737,27.528914
44,0.021654,0.004594,0.003922,0.006572,0.016119,0.001274,20.614191,1.883305,27.574783
45,0.021731,0.004598,0.003928,0.006572,0.016114,0.001276,20.839354,1.916777,27.491440
46,0.021647,0.004542,0.003889,0.006540,0.016030,0.001254,20.882256,1.897999,27.448112
47,0.021764,0.004536,0.003885,0.006534,0.016014,0.001258,20.889314,1.902418,27.672590
48,0.021662,0.004495,0.003845,0.006490,0.015917,0.001265,20.740658,1.906090,27.471510
49,0.021796,0.004478,0.003833,0.006476,0.015888,0.001261,20.716935,1.912307,27.461312
50,0.021921,0.004489,0.003846,0.006512,0.015964,0.001260,20.625194,1.879570,27.477484
51,0.022061,0.004526,0.003877,0.006527,0.016000,0.001259,20.626204,1.904606,27.526335
52,0.022099,0.004499,0.003853,0.006489,0.015901,0.001253,20.829430,1.921849,27.649630
53,0.022363,0.004557,0.003901,0.006576,0.016125,0.001259,20.724550,1.914603,27.513855
54,0.022237,0.004510,0.003862,0.006504,0.015938,0.001250,21.009253,1.923069,27.797679
55,0.022513,0.004531,0.003886,0.006550,0.016085,0.001260,20.755376,1.880028,27.538752
56,0.022231,0.004464,0.003818,0.006435,0.015756,0.001239,20.734614,1.896463,27.592819
57,0.022463,0.004477,0.003826,0.006508,0.015993,0.001256,20.781159,1.896027,27.620904
58,0.022525,0.004459,0.003826,0.006490,0.015897,0.001246,20.740399,1.910949,27.633630
59,0.022538,0.004451,0.003813,0.006423,0.015752,0.001236,21.041300,1.912967,27.680741
